stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
NOLELYSN,1608,ELYSIAN FIELDS STATION OUTBOUND,NOLENSVILLE & ELYSIAN FIELDS,36.086253,-86.729671,,,,,,1
NOLFAINM,1610,NOLENSVILLE PIKE & FAIRLANE DR NB,US HWY 31 ALT & NOLENSVILLE PIKE,36.064303,-86.717023,,,,,,0
NOLFLONN,1611,NOLENSVILLE PIKE & FLORA MAXWELL RD NB,,36.074956,-86.724751,0,,,,,
NXIGLNRS,1612,GLENROSE STATION INBOUND,NOLENSVILLE & GLENROSE,36.126133,-86.752571,,,,,,1
NOLHAYNF,1616,NOLENSVILLE PK & HAYWOOD LN,4677 NOLENSVILLE PIKE,36.068691,-86.719428,,,,,,0
NOLHAYSN,1617,NOLENSVILLE PIKE & HAYWOOD LN SB,US HWY 31 ALT & US HWY 41 ALT,36.068213,-86.719328,,,,,,
NOLMCMSN,1624,NOLENSVILLE PIKE & MCMURRAY DR SB,,36.061867,-86.716904,,,,,,
NXOMCNLY,1626,MCNALLY STATION OUTBOUND,NOLENSVILLE & MCNALLY,36.093821,-86.736616,,,,,,0
NXOANTCH,1628,ANTIOCH STATION OUTBOUND,NOLENSVILLE PK & ANTIOCH PK,36.1019,-86.740743,,,,,,1
NXOPCHTR,1629,PEACHTREE STATION OUTBOUND,NOLENSVILLE & MELROSE,36.119777,-86.749754,,,,,,
NXIMCNLY,1631,MCNALLY STATION INBOUND,NOLENSVILLE & NATCHEZ,36.093692,-86.736273,,,,,,
NXOFRGND,1633,FAIRGROUNDS STATION OUTBOUND,4TH AV S & WALSH RD,36.135034,-86.759818,,,,,,1
NXOGLNRS,1636,GLENROSE STATION OUTBOUND,NOLENSVILLE & GLENROSE AV,36.126086,-86.752832,,,,,,1
NOLNORNN,1637,NOLENSVILLE PIKE & NORTHCREST DR NB,,36.066634,-86.717764,,,,,,0
NOLNORSN,1639,NOLENSVILLE PIKE & NORTHCREST DR SB,NOLENSVILLE & NORTHCREST DR.,36.066936,-86.718231,,,,,,
NOLNORSM,1640,NOLENSVILLE PIKE & NORTHCREST DR SB,,36.065119,-86.71749,,,,,,
NOLOCASN,1641,NOLENSVILLE PIKE & OCALA DR SB,,36.05165,-86.71458,,,,,,
NOLOLDSN,1644,NOLENSVILLE PIKE & OLD HICKORY BLVD,5787 NOLENSVILLE PIKE & OLD HICKORY BLVD,36.045659,-86.713452,,,,,,0
NXIPCHTR,1648,PEACHTREE STATION INBOUND,US HWY 31 ALT & NEWSOM ST,36.120327,-86.749782,,,,,,1
NOLTAYWN,1653,NOLENSVILLE PIKE & TAYLOR RD WB,,36.069631,-86.720726,,,,,,0
NXITHMPN,1655,THOMPSON STATION INBOUND,NOLENSVILLE & THOMPSON,36.112037,-86.745666,,,,,,1
NXOTHMPN,1656,THOMPSON STATION OUTBOUND,NOLENSVILLE & MCCLAIN AV,36.111844,-86.745821,,,,,,
NOLTUSNN,1658,NOLENSVILLE PIKE & TUSCULUM RD NB,NOLENSVILLE PK & TUSCULUM RD,36.059956,-86.716265,0,,,,,0
NOLTUSSN,1659,NOLENSVILLE PIKE & TUSCULUM RD SB,US HWY 31 ALT & US HWY 41 ALT,36.059175,-86.716445,,,,,,
NOLAPRSN,1660,NOLENSVILLE PIKE & APRIL LN SB,NOLENSVILLE & TUSCULUM,36.056148,-86.715911,,,,,,
NXIVERTS,1661,VERITAS STATION INBOUND,NOLENSVILLE & VERITAS,36.097942,-86.7385,,,,,,1
NOLWALNN,1663,NOLENSVILLE PIKE & WALLACE RD NB,NOLENSVILLE PK & EDMONDSON PK,36.076974,-86.725383,,,,,,0
NXIFRGND,1665,FAIRGROUNDS STATION INBOUND,NOLENSVILLE & WALSH,36.135392,-86.759737,,,,,,0
NOLFLOSN,1666,NOLENSVILLE PIKE & FLORA MAXWELL RD,NOLENSVILLE PK & FLORA MAXWELL RD,36.075055,-86.725073,,,,,,
NXOWDCST,1670,WOODYCREST STATION OUTBOUND,NOLENSVILLE & WOODY CREST,36.130773,-86.755878,,,,,,
NXINVZOO,1673,NASHVILLE ZOO STATION INBOUND,NOLENSVILLE PK & ZOO RD,36.090045,-86.733393,,,,,,1
NXONVZOO,1674,NASHVILLE ZOO STATION OUTBOUND,NOLENSVILLE & ZOO,36.089632,-86.733373,0,,,,,0
OAKALLNN,1675,OAKWOOD  AVE & ALLENWOOD DR NB,,36.211891,-86.753488,,,,,,
OAKSTASN,1677,OAKVIEW DR & STARLIGHT DR SB,,36.238116,-86.766147,,,,,,
OLDBELNF,1694,OLD HICKORY & BELLE FOREST CIR NB,OLD HICKORY BLVD & BELLE FOREST CIR,36.077513,-86.919895,,,,,,2
OLDBLFSN,1697,OLD HICKORY BLVD & BELLE FOREST CR SB,OLD HICKORY BLVD & BELLE FOREST DR,36.077656,-86.920051,,,,,,
HICOLDNF,1716,HICKORY PLAZA DR & OLD HICKORY BLVD NB,5784 HICKORY PLAZA DR,36.045751,-86.716874,0,,,,,0
HICHVINN,1718,HICKORY PZ & HICKORYVIEW DR,HICKORY PLZ & HICKORYVIEW DR,36.048729,-86.716298,,,,,,
OLDBELSM,1719,OLD HICKORY BLVD & BELLE FOREST CR SB,OLD HICKORY BV & BELLE FOREST CR,36.075888,-86.921023,,,,,,0
OLDHINSM,1721,OLD HICKORY BLVD & HINDU TEMPLE SB,523 OLD HICKORY BLVD,36.100213,-86.924106,,,,,,2
OLDRIDNN,1730,OLD HICKORY BLVD &  RIDGELAKE PKWY NB,OLD HICKORY BLVD & MADISON RIDGELAKE APARTMENTS,36.097267,-86.924712,,,,,,
OLDRIDSF,1731,OLD HICKORY BLVD & RIDGELAKE PKWY SB,OLD HICKORY BLVD & MADISON AT RIDGELAKE APARTMENTS,36.097223,-86.924922,,,,,,2
OPROPRNM,1755,OPRY MILLS FOOD COURT,PARKING LOT & DRIVEWAY,36.202834,-86.693524,,,,,,
CREPARWN,1761,CREEKWOOD DR & PARK CREEK DR WB,,36.233771,-86.768442,,,,,,1
CREPARWF,1762,CREEKWOOD DR & PARK CREEK DR WB,3227 CREEKWOOD DR,36.232446,-86.770036,,,,,,0
CREOAKSN,1763,CREEKWOOD DR & OAKVIEW DR SB,,36.23502,-86.766514,,,,,,0
CREOAKSM,1764,CREEKWOOD DR & OAKVIEW DR SB,3333 CREEKWOOD DR,36.234353,-86.76768,,,,,,0
CRERICWN,1765,CREEKWOOD DR & RICHMOND HILL DR WB,,36.231444,-86.773358,,,,,,
PON10AEM,1772,PONDER PL & 10TH AVE N EB,PONDER PLACE & ATHENS WAY,36.19168,-86.803943,,,,,,0
PONATHE2,1773,PONDER PL & ATHENS WAY EB,,36.191732,-86.802666,,,,,,
PORGRENN,1778,PORTER RD & GREENWOOD AVE NB,,36.18823,-86.729414,,,,,,
BRAEIRNN,1785,BRANSFORD AVE & EAST IRIS DR NB,BRANSFORD AV & E IRIS DR,36.116603,-86.76628,,,,,,
BRABERNM,1787,BRANSFORD AVE & BERRY RD NB,2605 BRANSFORD AVE,36.121653,-86.765486,0,,,,,0
100OAKS,1788,100 OAKS MALL,ARMORY OAKS DR & WILBUR DR,36.106851,-86.762639,,,,,,1
POWBRASN,1791,POWELL AVE & BRANSFORD AVE,,36.110678,-86.767185,,,,,,
POWPOWNM,1792,POWELL AVE & POWELL PL NB,,36.108232,-86.765569,,,,,,
PREWILSF,1797,PREMIER DR & WILCLAY DR SB,,36.144522,-86.880339,,,,,,1
RICEWISN,1802,RICHMOND HILL DR & EWING DR SB,3033 RICHMOND HILL DR & EWING DR,36.230495,-86.773861,0,,,,,0
RICHILWN,1804,RICHARD JONES RD & HILLSBORO PIKE W,2090 RICHARD JONES RD & HILLSBORO PIKE,36.104841,-86.814243,,,,,,0
RICLONWF,1805,RICHARD JONES & LONE OAK RD WB,1984 RICHARD JONES RD & HILLMONT DR,36.104484,-86.809306,,,,,,0
RICVAIWN,1810,RICHMOND HILLS DR & VAILVIEW DR WB,,36.234415,-86.774882,,,,,,0
RIVDORNM,1812,RIVERSIDE DR & DORCHESTER AVE NB,1803 RIVERSIDE DR & DORCHESTER AVE,36.198116,-86.723062,,,,,,0
RIVPIENN,1814,RIVERSIDE DR & PIEDMONT AVE NB,,36.201567,-86.722604,,,,,,
ROWBUESN,1826,ROWAN DR & BUENA VISTA PIKE SB,ROWAN DR & BUENA VISTA PK,36.21714,-86.819509,,,,,,0
ROWBUENN,1827,ROWAN DR & BUENA VISTA PIKE NB,ROWAN DRIVE & BUENA VISTA PK,36.217237,-86.819123,,,,,,
ROWCRONN,1828,ROWAN DR & CROUCH DR NB,766 ROWAN DR & CROUCH DR,36.21883,-86.817947,,,,,,0
ROWCRAEN,1830,ROWAN DR & CRAVATH DR EB,,36.220553,-86.811372,,,,,,
ROYDONEN,1831,ROYAL PKWY & DONELSON PIKE EB,,36.145921,-86.66687,,,,,,
ROYPEREM,1832,ROYAL PKWY & PERIMETER PL EB,ROYAL PKWY & RACHEL PKWY,36.148364,-86.674225,,,,,,
ROYRACEN,1833,ROYAL PKWY & RACHEL DR EB,,36.147035,-86.672372,,,,,,
SAWPLANM,1841,SAWYER BROWN RD & PLANTATION DR NB,,36.074755,-86.945953,,,,,,
SHABELEN,1864,SHACKLEFORD RD & BELMONT BLVD EB,1602 SHACKLEFORD RD & BELMONT BLVD,36.101328,-86.80261,,,,,,0
SHALONWN,1867,SHACKLEFORD RD & LONE OAK RD WB,1888 SHACKLEFORD RD & LONE OAK RD,36.102172,-86.808761,,,,,,0
SHE10SWN,1871,SHELBY AVE & S 10TH ST WB,,36.171413,-86.751834,,,,,,
SHE11SEN,1872,SHELBY AVE & S 11TH ST EB,,36.171202,-86.750954,,,,,,
SHE14SEN,1878,SHELBY AVE & S 14TH ST EB,,36.17079,-86.74695,,,,,,
SHE14SWN,1879,SHELBY AVE & S 14TH ST WB,,36.170861,-86.746613,,,,,,
SHE16SEN,1882,SHELBY AVE & S 16TH ST EB,1593 SHELBY AVE & 16TH ST S,36.170439,-86.742956,,,,,,0
SHE17SEN,1884,SHELBY AVE & S 17TH ST EB,,36.170207,-86.74041,,,,,,
SHE19SEN,1888,SHELBY AVE & S 19TH ST EB,,36.169954,-86.737673,,,,,,0
SHE6STEN,1889,SHELBY AVE & S 6TH ST EB,595 SHELBY AVE & 6TH ST S,36.168252,-86.760367,0,,,,,0
SHE6SWM,1890,SHELBY AVE & S 6TH ST WB,603 SHELBY AVE & 6TH ST S,36.168564,-86.759938,,,,,,0
SHE7SWN,1891,SHELBY AVE & S 7TH ST WB,711 SHELBY AVE & 7TH ST S,36.169407,-86.757756,,,,,,0
SHE7SEN,1892,SHELBY AVE & S 7TH ST EB,689 SHELBY AVE & 7TH ST S,36.169144,-86.758006,,,,,,0
SHE8SEN,1893,SHELBY AVE & S 8TH ST EB,,36.169855,-86.756272,,,,,,
SHE9SEN,1894,SHELBY AVE  & S 9TH ST EB,891 SHELBY AVE & 9TH ST S,36.170518,-86.754413,,,,,,0
SHE9SWM,1895,SHELBY AVE & S 9TH ST WB,887 SHELBY AVE & 9TH ST S,36.170622,-86.754573,,,,,,0
SLAOAKE,1908,SLAYDON DR & OAKWOOD AVE EB,SLAYDEN & OAKWOOD,36.210825,-86.753878,,,,,,0
TEN44AWM,1927,TENNESSEE AVE & 44TH AVE N WB,TENNESSEE & 44 AVE,36.161107,-86.841286,,,,,,0
TEN44AEN,1928,TENNESSEE AVE & 44TH AVE N EB,TENNESSEE & 44 AVE,36.161013,-86.840794,,,,,,
TEN48AEN,1929,TENNESSEE AVE & 48TH AVE N EB,TENNESSEE & 48TH AVE NORTH,36.161031,-86.84537,,,,,,
TEN48AEM,1930,TENNESSEE AVE & 48TH AVE N EB,TENNESSEE & 48TH AVE NORTH,36.160893,-86.843896,,,,,,
TEN48AWN,1931,TENNESSEE AVE & 48TH AVE N WB,TENNESSEE & 48TH  AVE NORTH,36.16103,-86.843913,,,,,,
TEN49AWN,1933,TENNESSEE AVE & 49TH AVE N WB,TENNESSEE AV & 49TH AV NORTH,36.161082,-86.846414,,,,,,
TEN49AEN,1934,TENNESSEE AVE & 49TH AVE N EB,,36.160984,-86.846571,,,,,,
51ATENNN,1935,51ST AVE N & TENNESSEE AVE NB,TENNESSEE & 51 AVE,36.160713,-86.84895,,,,,,0
THOPOWEM,1939,THOMPSON LN & POWELL AVE EB,THOMPSON & BRANDSFORD AV,36.112013,-86.764776,,,,,,
THOEIREF,1940,THOMPSON LN & EAST IRIS DR,THOMPSON & E IRIS DR,36.111799,-86.762652,,,,,,
THOKRAEF,1941,THOMPSON LN & KRAFT DR,,36.111311,-86.757596,,,,,,0
THOWESWF,1943,THOMPSON LN & WEST IRIS DR WB,,36.112451,-86.768579,,,,,,0
TODDOREN,1947,TODD PREIS DR & DORAL COUNTRY DR  EB,,36.070333,-86.945514,,,,,,
TODDORWN,1948,TODD PREIS DR & DORAL COUNTRY DR WB,,36.070268,-86.945138,,,,,,
TODSAWWN,1949,TODD PREIST DR & SAWYER BROWN RD WB,,36.07108,-86.94684,,,,,,
UNI2AWN,1963,UNION ST & 2ND AVE WB,UNION ST N & SKYVIEW DR,36.166215,-86.777565,,,,,,
UNI7AWN,1966,UNION ST & 7TH AVE N WB,UNION & 7 AVE,36.163599,-86.783404,,,,,,
UNIROSWM,1967,UNION ST & ROSA PARKS AVE WB,UNION & 8 AVE,36.163064,-86.784562,0,,,,,
VAISPEEM,1970,VAILVIEW DR & SPEARS RD EB,VAILVIEW DR & OAKVIEW DR,36.239673,-86.768103,,,,,,0
VAIBRIEM,1971,VAILVIEW DR & BRICKDALE LN EB,3235 VAILVIEW DR,36.236609,-86.77118,,,,,,0
VAIQUAEN,1972,VAILVIEW DR & QUALYNN DR EB,,36.237217,-86.770335,,,,,,0
VAIROBEN,1973,VAILVIEW DR & ROBWOOD DR EB,VAILVIEW DR & UNNAMED STREET,36.237993,-86.769273,,,,,,0
VANGREWM,1977,VANTAGE WAY & GREAT CIRCLE RD WB,44 VANTAGE WAY & CONNECTING ROAD,36.19169,-86.79438,0,,,,,0
VILBRIEM,1978,VILLAGE TRL & BRICK CHURCH PIKE EB,3609 VILLAGE TRL & MOONLIGHT DR,36.24719,-86.777231,,,,,,1
VILSTAEM,1979,VILLAGE TRL & STANDING STONE DR EB,VILLAGE TRAIL & MOOREWOOD DR,36.247457,-86.773292,,,,,,
WALLINNN,1983,WALLACE RD & LINBAR DR NB,,36.081356,-86.702265,,,,,,
WALSOUEN,1984,WALLACE RD & SOUTHERN HILLS EB,WALLACE RD & BROOKRIDGE TL,36.077723,-86.724153,,,,,,
WALBROEM,1985,WALLACE RD & BROOKRIDGE TL EB,,36.079052,-86.720713,,,,,,
WALTUREN,1986,WALLACE RD & TURLEY DR EB,WALLACE RD & SHERMAN OAKS DR,36.079055,-86.708431,,,,,,
WED17AEN,1989,WEDGEWOOD AVE & 17TH AVE S EB,WEDGEWOOD & 17 AVE,36.136868,-86.795931,,,0,,,0
WED19AEN,1990,WEDGEWOOD AVE & 19TH AVE S EB,WEDGEWOOD & 19 AVE,36.137287,-86.798379,,,,,,
WEDBRAEN,1991,WEDGEWOOD AVE & BRANSFORD AVE EB,,36.133255,-86.769002,,,,,,
WES17AWN,1994,WEST END AVE & 17TH AVE S WB,WEST END AV & 17TH AV N,36.153941,-86.794329,0,,,,,1
WES17AEN,1995,WEST END AVE & 17TH AVE S EB,WEST END AV & 17TH AV S,36.153658,-86.794441,,,,,,1
WES20AWN,2000,WEST END AVE & 20TH AVE S WB,WEST END AV & 20TH AV S,36.151548,-86.79923,,,,,,0
WES20AEN,2001,WEST END AVE & 20TH AVE S EB,,36.151248,-86.799394,,,,,,1
WES21AWN,2002,WEST END AVE & 21ST AVE S WB,WEST END AV & 21ST AV N,36.150628,-86.801112,,,,,,0
WES21AEN,2003,WEST END AVE & 21ST AVE S EB,WEST END AVE & 21ST AVE N,36.150192,-86.801522,,,,,,
WES23AWN,2004,WEST END AVE & 23RD AVE S WB,WEST END AV & 23RD AV N,36.149007,-86.804449,,,,,,0
WES24AEN,2008,WEST END AVE & 24TH AVE S EB,WEST END AV & 24TH AV N,36.147952,-86.806152,0,,,,,
WES25AWN,2009,WEST END AVE & 25TH AVE S WB,WEST END AV & 25TH AV S,36.147202,-86.808104,,,,,,
WES27AWN,2012,WEST END AVE & 27TH AVE S WB,WEST END AV & 27TH AV N,36.145648,-86.811401,,,,,,
WES28AEM,2013,WEST END AVE & 28TH AVE S EB,WEST END AV & 27TH AV N,36.145346,-86.811538,,,,,,1
WES31AEM,2017,WEST END AVE & 31ST AVE S EB,3028 WEST END AVE & 30TH AVE,36.143233,-86.814581,,,,,,0
WES31AWN,2018,WEST END AVE & 31ST AVE N WB,3062 WEST END AVE,36.14304,-86.815175,,,,,,0
WESACKEN,2019,WEST END AVE & ACKLEN PARK DR EB,,36.140666,-86.817509,,,,,,
WESACKWN,2020,WEST END AVE & ACKLEN PARK DR WB,,36.141069,-86.817404,,,,,,0
WESBOWWN,2023,WEST END AVE & BOWLING AVE WB,,36.134804,-86.824957,,,,,,0
WESELMEN,2028,WEST END AVE & ELMINGTON AVE EB,,36.13499,-86.823993,0,,,,,0
HARWODEN,2031,HARDING PIKE & WOODMONT BLVD,HARDING BV & LYNWOOD BV,36.123799,-86.84909,,,,,,
HARKENEF,2032,HARDING PIKE & KENNER AVE EB,4366 HARDING PIKE & KENNER AVE,36.125943,-86.84608,0,,,,,0
